timestamp,building,building_type,occupancy,energy_kwh,temperature_f,event
2026-05-20T00:00,Engineering Hall,Lab,9,84.34,70.7,normal
2026-05-20T00:00,Science Library,Study,17,64.5,70.7,normal
2026-05-20T00:00,Student Center,Dining,23,88.83,70.7,normal
2026-05-20T00:00,Mesa Housing,Residence,68,89.4,70.7,normal
2026-05-20T00:00,Arts Annex,Studio,5,37.51,70.7,normal
2026-05-20T00:00,Bio Research,Lab,13,92.46,70.7,normal
2026-05-20T01:00,Engineering Hall,Lab,16,90.22,65.8,normal
2026-05-20T01:00,Science Library,Study,17,63.03,65.8,normal
2026-05-20T01:00,Student Center,Dining,25,80.96,65.8,normal
2026-05-20T01:00,Mesa Housing,Residence,117,110.66,65.8,normal
2026-05-20T01:00,Arts Annex,Studio,7,37.61,65.8,normal
2026-05-20T01:00,Bio Research,Lab,18,97.76,65.8,normal
2026-05-20T02:00,Engineering Hall,Lab,11,90.97,62.3,normal
2026-05-20T02:00,Science Library,Study,24,67.94,62.3,normal
2026-05-20T02:00,Student Center,Dining,24,85.77,62.3,normal
2026-05-20T02:00,Mesa Housing,Residence,128,111.62,62.3,normal
2026-05-20T02:00,Arts Annex,Studio,9,45.08,62.3,normal
2026-05-20T02:00,Bio Research,Lab,15,101.69,62.3,normal
2026-05-20T03:00,Engineering Hall,Lab,19,86.97,61.3,normal
2026-05-20T03:00,Science Library,Study,19,61.19,61.3,normal
2026-05-20T03:00,Student Center,Dining,14,78.15,61.3,normal
2026-05-20T03:00,Mesa Housing,Residence,68,88.34,61.3,normal
2026-05-20T03:00,Arts Annex,Studio,10,41.18,61.3,normal
2026-05-20T03:00,Bio Research,Lab,14,95.11,61.3,normal
2026-05-20T04:00,Engineering Hall,Lab,25,97.77,57.6,normal
2026-05-20T04:00,Science Library,Study,28,65.57,57.6,normal
2026-05-20T04:00,Student Center,Dining,24,84.47,57.6,normal
2026-05-20T04:00,Mesa Housing,Residence,86,104.3,57.6,normal
2026-05-20T04:00,Arts Annex,Studio,12,45.88,57.6,normal
2026-05-20T04:00,Bio Research,Lab,20,106.13,57.6,normal
2026-05-20T05:00,Engineering Hall,Lab,19,88.81,57.7,normal
2026-05-20T05:00,Science Library,Study,25,65.3,57.7,normal
2026-05-20T05:00,Student Center,Dining,17,88.72,57.7,normal
2026-05-20T05:00,Mesa Housing,Residence,118,109.56,57.7,normal
2026-05-20T05:00,Arts Annex,Studio,15,45.29,57.7,normal
2026-05-20T05:00,Bio Research,Lab,27,105.28,57.7,normal
2026-05-20T06:00,Engineering Hall,Lab,24,98.16,54.5,normal
2026-05-20T06:00,Science Library,Study,28,71.42,54.5,normal
2026-05-20T06:00,Student Center,Dining,29,91.02,54.5,normal
2026-05-20T06:00,Mesa Housing,Residence,72,100.8,54.5,normal
2026-05-20T06:00,Arts Annex,Studio,17,44.75,54.5,normal
2026-05-20T06:00,Bio Research,Lab,18,99.63,54.5,normal
2026-05-20T07:00,Engineering Hall,Lab,46,106.19,55.5,normal
2026-05-20T07:00,Science Library,Study,28,68.82,55.5,normal
2026-05-20T07:00,Student Center,Dining,36,95.22,55.5,normal
2026-05-20T07:00,Mesa Housing,Residence,117,115.86,55.5,normal
2026-05-20T07:00,Arts Annex,Studio,14,49.38,55.5,normal
2026-05-20T07:00,Bio Research,Lab,39,112.54,55.5,normal
2026-05-20T08:00,Engineering Hall,Lab,53,106.84,54.5,normal
2026-05-20T08:00,Science Library,Study,47,77.52,54.5,normal
2026-05-20T08:00,Student Center,Dining,47,104.71,54.5,normal
2026-05-20T08:00,Mesa Housing,Residence,69,94.7,54.5,normal
2026-05-20T08:00,Arts Annex,Studio,21,54.43,54.5,normal
2026-05-20T08:00,Bio Research,Lab,56,118.17,54.5,normal
2026-05-20T09:00,Engineering Hall,Lab,63,110.32,57.2,normal
2026-05-20T09:00,Science Library,Study,70,85.88,57.2,normal
2026-05-20T09:00,Student Center,Dining,60,106.22,57.2,normal
2026-05-20T09:00,Mesa Housing,Residence,50,84.28,57.2,normal
2026-05-20T09:00,Arts Annex,Studio,22,53.48,57.2,normal
2026-05-20T09:00,Bio Research,Lab,68,127.29,57.2,normal
2026-05-20T10:00,Engineering Hall,Lab,46,109.52,57.7,normal
2026-05-20T10:00,Science Library,Study,90,88.83,57.7,normal
2026-05-20T10:00,Student Center,Dining,69,105.76,57.7,normal
2026-05-20T10:00,Mesa Housing,Residence,86,101.97,57.7,normal
2026-05-20T10:00,Arts Annex,Studio,28,50.81,57.7,normal
2026-05-20T10:00,Bio Research,Lab,63,119.11,57.7,normal
2026-05-20T11:00,Engineering Hall,Lab,68,110.52,62.5,normal
2026-05-20T11:00,Science Library,Study,79,88.64,62.5,normal
2026-05-20T11:00,Student Center,Dining,68,105.35,62.5,normal
2026-05-20T11:00,Mesa Housing,Residence,90,99.98,62.5,normal
2026-05-20T11:00,Arts Annex,Studio,39,52.9,62.5,normal
2026-05-20T11:00,Bio Research,Lab,48,109.79,62.5,normal
2026-05-20T12:00,Engineering Hall,Lab,79,115.7,63.2,normal
